"","rest_id","rest_name","area","orders","Locality","area_code","cuisine","cft","LatLong","cluster","week"
"11.318",5044,"Coriander Leaf","DLF Phase 4",20,"MG Road",87,"North Indian,Mughlai,Pakistani","<= 250","28.478293,77.08088680000003","1",1
"11.419",6959,"Big Jack's","DLF Phase 4",58,"DLF Phase 4",87,"American,Continental","> 2500","28.469749,77.08591100000001","1",1
"11.1706",16446,"Pind Balluchi","DLF Phase 4",150,"Mega Mall",87,"Indian","> 2500","28.475835,77.09310099999993","1",1
"11.3419",24530,"Chawla Dilliwala","DLF Phase 4",43,"Supermart 1, Phase 4",87,"Chinese,Indian","> 250 & <= 500","28.46798,77.08581300000003","1",1
"11.4301",29041,"Rumi's Kitchen","DLF Phase 4",47,"Phase 4",87,"Biryani,Indian,Awadhi","> 2500","28.4697,77.08760699999993","1",1
"21.48",882,"Wangchuk's Tibetan and Ladakhi Kitchen","DLF Phase 4",89,"Sector 47",87,"Tibetan,Nepalese","> 2500","28.466652,77.09404300000006","2",1
"21.164",1903,"Giani","DLF Phase 4",624,"Supermart I",87,"Desserts,Ice Cream","> 250 & <= 500","28.462426,77.08739100000003","2",1
"21.181",2036,"Hungry Buffoons","DLF Phase 4",10,"Golfcourse road",87,"North Indian,Italian,Mexican","> 250 & <= 500","28.461185,77.09548700000005","2",1
"21.1855",17787,"Kaiser","DLF Phase 4",303,"Supermart-1",87,"Mughlai","> 2500","28.461544,77.08880699999997","2",1
"21.3048",22675,"19 Flavours Biryani","DLF Phase 4",140,"Global Foyer Mall",87,"Biryani","> 2500","28.461423,77.094697","2",1
"21.3271",23880,"Habibi","DLF Phase 4",7,"Supermart 1",87,"Lebanese,Indian","> 250 & <= 500","28.4621956,77.08749899999998","2",1
"21.3581",25264,"Bamboo Boat","DLF Phase 4",5,"Supermart 2",87,"Chinese,Thai,Asian","> 2500","28.4613639,77.08889099999999","2",1
"21.3592",25343,"Creambell Icecream","DLF Phase 4",62,"behind supermart 2",87,"Ice Cream","<= 250","28.4612389,77.08863999999994","2",1
"21.3801",26382,"Anandini Himalay Tea","DLF Phase 4",0,"Sushant Shopping Arcade",87,"Cafe","> 250 & <= 500","28.460539,77.07963599999994","2",1
"31.103",1488,"WoW - Vada Pav & More","DLF Phase 4",170,"Sushant Shopping Arcade",87,"Fast Food,Street Food","<= 250","28.460676,77.07887400000004","3",1
"31.123",1658,"Frsh.com","DLF Phase 4",837,"Huda City",87,"Continental,Healthy Food","> 250 & <= 500","28.460769,77.078889","3",1
"31.322",5064,"Mitraao","DLF Phase 4",144,"Sector 56",87,"North Indian","> 2500","28.460815,77.079023","3",1
"31.2247",19409,"Subway","DLF Phase 4",346,"Sushant Shopping Arcade",87,"Healthy Food","> 250 & <= 500","28.460255,77.07894899999997","3",1
"31.3693",25789,"Cherry Comet","DLF Phase 4",25,"Shushant Shopping Arcade",87,"Desserts,Ice Cream","<= 250","28.460826,77.07898499999999","3",1
"31.4229",28536,"Firangi Bake","DLF Phase 4",1,"Shushant  Shopping Arcade",87,"Continental,Italian,Mexican,Spanish","> 2500","28.460825,77.079008","3",1
